label,review
positif ,"Layar handphone ini sangat impresif dengan resolusi tinggi dan warna yang hidup, membuat pengalaman menonton video dan bermain game menjadi sangat memikat"
positif,Fitur kamera depan dengan mode potret yang disempurnakan memungkinkan pengguna untuk mengambil foto selfie yang tajam dan berkualitas tinggi
positif, Kecepatan prosesor yang tinggi pada handphone ini memungkinkan multitasking lancar dan kinerja yang responsif dalam menjalankan aplikasi-aplikasi berat
positif,"Baterai handphone ini memiliki kapasitas yang besar, sehingga pengguna dapat menggunakan perangkat ini sepanjang hari tanpa perlu sering mengisi daya"
positif,"Keamanan handphone ini sangat baik berkat pengenalan wajah dan pemindai sidik jari yang cepat, menjadikannya aman untuk menyimpan data sensitif"
positif,"Handphone ini memiliki fitur pengisian daya nirkabel yang sangat nyaman, sehingga Anda tidak perlu repot-repot dengan kabel saat mengisi daya"
positif," Suara dari speaker stereo pada handphone ini sangat jernih dan berimbang, memberikan pengalaman mendengarkan musik yang luar biasa"
positif,"Desain fisik handphone ini sangat elegan dan ramping, dengan bingkai yang sangat tipis, menjadikannya mudah untuk digenggam"
positif,"Antarmuka pengguna yang intuitif membuat navigasi dan pengaturan pada handphone ini menjadi sangat mudah, bahkan bagi pengguna yang kurang berpengalaman"
positif,"Sinyal jaringan seluler pada handphone ini sangat kuat, bahkan di area yang cenderung memiliki cakupan yang lemah, sehingga tidak ada masalah dengan panggilan terputus atau lambat"
positif,"HP ini bagus, aman, tidak ada yang kurang. Pengemasannya cukup baik dan fungsional. RAM-nya besar. Semoga awet. Dulu, saya membeli Note 11 di sini, tetapi setelah 3 bulan digunakan, hilang karena dicopet. Semoga kali ini beruntung. Amin"
positif,"Gila, ini benar-benar luar biasa, dengan harga seperti ini bisa mendapatkan RAM yang besar, sungguh worth it banget. Warna juga sangat bagus sekali. Semoga fitur-fiturnya berjalan dengan baik. Pengirimannya sangat mantap dan cepat sekali. Terima kasih Xiaomi dan Shopee!"
positif,"Ini yang ketiga kalinya saya membeli produk dari Xiaomi melalui official store, mulai dari Redmi Note 9, Redmi 10, dan yang terbaru, Redmi 12. Tidak pernah mengecewakan. Pengemasannya sangat baik, dengan dus dan bubble wrap 🤩. Sayangnya, kualitas video agak terganggu karena kondisi gelap 🤣, harap maklum karena saya menggunakan HP jadul sehingga tidak bisa di-share"
positif,"Tentu saja, kamera belakang sudah memiliki 0,5x zoom, jadi Anda masih bisa eksis dengan kamera itu. Bentuk dan tampilannya menarik serta bagus, sangat mulus, dan pencahayaan dalam kameranya juga bagus. Banyak fiturnya yang keren, pokoknya."
positif,Kualitas HP bagus sesuai Pic Barang sampai dengan aman Terimakasih
positif,"Terima kasih, barangnya sudah diterima dengan baik. Warna produknya sangat cantik. Meskipun belum saya coba, saya harap semua fitur di dalamnya berfungsi dengan maksimal dan dapat bertahan lama. Terima kasih kepada Shopee dan Xiaomi."
positif,"Kelengkapan bawaan hp lumayan banyak untuk harga 2.2 juta. Dari rom/ ram besar, charger, casing plastik, nfc serta sertifikat ip53. Hanya pengirimannya saja lama lewat 1 hari dari tanggal perkiraan. Di terima lengkap di 73% penyetelan serta dimainkan game bertahan 6 jaman. Di charge 0% keadaan mati 2 jam 15 menit sampai 100%."
positif,"Cuma mau bilang 1 kata untuk HP ini ""The best low phone"", ini HP dibawah 1 jt an paling worth it dibeli, mau jadi daily atau secondary penggunaan, masih cocok kok, apalagi ram nya lumayan gede 4+4 GB, battery bisa bertahan dari pagi hingga sore cuma buat yutub, itu pun masih ada sisa, mantap masih, 5000 mAh. Untuk gaming masih bisa di low class aja, sesuai tipe hpnya, Minusnya, terkadang cenderung agak ngeleg pas scroll media. Untuk performa kamera ini yang paling aku suka, murni jernih banget( bisa liat di contoh), emang the best banget nih Itel phone👍"
positif,"Dengan harga sejutaan, Xiaomi Redmi A2 ini sungguh luar biasa, terutama karena ini adalah hadiah untuk orang tua yang hanya menggunakan beberapa aplikasi seperti WhatsApp, YouTube, Cookpad, dan sebagainya. Pengiriman yang sama hari, cepat, dan dapat diandalkan. Terima kasih, Xiaomi! "
positif,"Alhamdulillah hp mendarat dengan selamat dan mulus, pengiriman cepet, sellernya juga best selalu respon chat dengan cepat. Ini bukan pembelian pertama berarti emang ini toko memuaskan 😉 coba pemakaian hp beberapa hari aman aja gaada kendala, mantap pokonya"
positif,"Handphone ini memiliki garansi yang panjang, sehingga memberikan rasa aman bagi pengguna."
positif,"Handphone ini sangat mudah digunakan, baik untuk pemula maupun pengguna yang sudah berpengalaman."
positif,"Handphone ini memiliki berbagai fitur yang lengkap, mulai dari kamera, layar, baterai, hingga performa. Semuanya terintegrasi dengan baik, sehingga memberikan pengalaman penggunaan yang maksimal."
positif,"Baterai handphone ini memiliki daya tahan yang lama, sehingga dapat digunakan seharian penuh tanpa khawatir kehabisan daya."
positif,"Handphone ini memiliki performa yang kencang, sehingga dapat menjalankan berbagai aplikasi dan game dengan lancar."
Negatif,"Barang bagus tapi di layar ada bintik biru ga tau kenapa bisa lewat Quality Control, fungsi si aman"
Negatif,"Kameranya Burik Banget,, buat VC kaya mayat Hidup🥲Niat mau upgrade dari xiaomi note 10 ke note 12 malah lebih jelek kameranya"
Negatif,"Hpnya ngelag Buka wa, kamera kadang nggak bisa harus restart. Hp kadang mati sendiri tiba-tiba nyala sendiri. Katanya bisa dikembalikan 7 hari setelah barang datang itu bohong. Harus ke servis center dulu nggak bisa pengembalian barang ditolak katanya hp bagus dan tidak lemot. Coba kamu pake wa dan lain lain untuk pengecesan normal , kamera pas awal di coba baik. Tapi kamera nya pucat nggak jernih trlalu hitam."
Negatif,"Akun resmi tidak menjamin kualitas HP yang bagus, sepertinya. Saya membeli HP ini dan ternyata tidak berfungsi dengan baik. Sinyalnya hilang tiba-tiba dalam beberapa menit. Selain itu, aplikasi Facebook bawaan memiliki email dan kata sandi yang tersimpan dari pengguna sebelumnya, padahal saya baru menggunakan HP ini setengah hari. Sayangnya, tidak ada solusi yang diberikan, dan permintaan pengembalian HP yang layak atau pengembalian dana ditolak. Saya diminta untuk membawa HP ke pusat servis, meskipun seharusnya HP ini baru dan masih segel. Jadi, sebelum Anda membeli, pertimbangkan dengan baik. Saya lebih baik berpikir dua kali daripada rugi seperti saya, membeli HP mahal tapi ternyata bermasalah."
Negatif,"Tolong bantuannya, mengapa ada banyak garis-garis pada kamera depan? Semua fiturnya baik, kamera belakang bagus, suaranya jelas, dan jaringannya stabil. Namun, masalah muncul saat menggunakan kamera depan. Ini sangat mengganggu saat melakukan video call atau mengambil foto dan video. Mohon bantuan."
Negatif,"Kualitas HP sangat buruk; meskipun HP ini masih baru, sudah mengalami kerusakan. Layarnya kabur seperti yang tergambar, dan HP tiba-tiba mati. Ketika saya mencoba mengajukan keluhan ke toko, responsnya sangat lama, dan mereka tidak memberikan solusi apa pun. Saya sudah cukup kecewa dan tidak ingin membeli lagi. Rasanya saya adalah korban dalam hal ini."
Negatif,"Setelah beberapa hari, handphone POCO yang saya terima tiba-tiba mati dan hanya menampilkan layar hitam. Saya telah mengajukan permohonan pengembalian. Namun, hingga saat ini, handphone POCO saya belum dikirim kembali."
Negatif,"Saya merasa ditipu oleh POCO! Mereka tidak konsisten dengan apa yang mereka ucapkan saat peluncuran produk! Padahal, harga Early Bird masih berlaku, tetapi harga sudah naik menjadi harga normal! Akibatnya, saya merugi sebesar 200 ribu rupiah. Seharusnya harganya 4,3 juta rupiah, tetapi sekarang menjadi 4,5 juta rupiah! Dengan harga 4,5 juta, lebih baik saya membeli Redmi Note 12 Pro 5G sekaligus, karena dapat dilengkapi dengan prosesor Dimensity 1080!"
Negatif,HP nya ga ngebaca SIM card. Padahal sim card di taro di hp lain kebaca. Saya komplain ga ditanggapi. Jelek bgt barangnya ga bisa baca sim card!
Negatif,"Setelah hampir satu bulan pemakaian, HP ini menjadi sangat lambat, bahkan untuk menjalankan WhatsApp saja sering mengalami error. Performanya tidak sebanding dengan harganya. Sayang sekali. Saya harap kualitasnya bisa diperbaiki. Bagi yang akan membeli, pertimbangkan dengan baik dan mungkin siapkan budget tambahan. Maaf kepada penjual, tetapi kejujuran dalam ulasan ini penting agar pembeli lain tidak merasa menyesal."
Negatif,"HP Baru udah ngga ada suaranya, di chat nyaranin di balikin, pas udah di balikin malah di tolak sepihak dan malah suruh pergi ke servis center, ternyata kena ic audio nya kalo servis center padahal di kota aku ngga ada SC infinix, kalo di cek di servis hp lain juga abis 300an pantes aja di tolak ga mau rugi ternyata toko ini, kalo hp rusak ngga usah di kirim donk kalo ngga mau tanggung jawab, baru kali ini belanja di official nya lngsung tapi model ny kaya gini ngg jamin, pikiri pikir lagi deh belanja d sini lagi"
Negatif,"Sayang sekali. Fitur gyroscope pada Infinix Hot 30 memiliki delay yang sangat terasa. Pengalaman bermain game dengan gyro menjadi tidak nyaman. Kemarin, saya mencoba pergi ke Carlcare yang terletak di Plaza Mall Simpang Lima Semarang untuk menanyakan masalah fitur gyroscope yang ada di Hot 30 ini. Namun, mereka hanya melakukan factory reset dan hasilnya tetap sama, gyroscope masih mengalami delay. Bahkan, petugasnya menyarankan saya untuk mencari HP dengan seri yang sama untuk dibandingkan terkait gyroscopenya. Ini benar-benar sangat mengecewakan."
Negatif,"Spesifikasi tidak sejalan dengan kinerja, UI, dan antarmuka pengguna. Xiaomi di kelas yang sama lebih disarankan. 👍 Pelayanan kurang memuaskan, klaim garansi atau pengembalian hanya seolah-olah, sementara sebenarnya tidak mendapatkan respons yang memadai, meskipun sudah memenuhi standar kebijakan. Sekali lagi, bagi mereka yang belum membeli, lebih baik memilih Xiaomi di kelas produk ini. Terima kasih."
Negatif,"Spesifikasinya seolah-olah hanya menjadi gimmick belaka. Saat bermain Mobile Legends, lag-nya sangat parah, meskipun saya sudah mengatur pengaturan grafisnya ke yang paling rendah. Saya sangat menyesal membeli Infinix Hot 20 5G ini. Saya harap tidak ada yang membeli ini, jangan seperti saya yang menyesal setelah melihat ulasan positif di YouTube. Ternyata tidak sebagus yang diiklankan, hanya sekadar gimmick. Percuma memiliki desain cover khusus untuk Mobile Legends jika performanya sangat lag dan tidak memadai."
Negatif,"Ini adalah HP paling buruk yang pernah saya beli di Shopee. Ini bermasalah. Bagaimana ya, saya tidak bisa menggunakan HP ini sama sekali. Layarnya sudah saya sentuh berkali-kali, tetapi tidak ada respons, hanya bergetar terus"
Negatif,"HP baru dipakai selama 3 hari dan sudah mengalami masalah ngehang yang tidak jelas dan kedip-kedip. Saya mengajukan keluhan dan diminta untuk mengembalikannya, namun permohonan pengembalian saya ditolak dengan sangat tidak adil. Sepertinya mereka dengan sengaja memberikan barang yang rusak! Ini benar-benar mengecewakan! Sepertinya mereka pikir kami membeli produk ini hanya untuk bercanda. "
Negatif,"Handphone ini sangat lambat, bahkan untuk tugas-tugas dasar seperti membuka aplikasi dan browsing."
Negatif,"Kamera handphone ini sangat buruk, hasil fotonya kabur dan tidak tajam."
Negatif,"Baterai handphone ini sangat cepat habis, bahkan dengan penggunaan yang wajar."
Negatif,Handphone ini sering hang atau restart sendiri.
Negatif,Handphone ini tidak sesuai dengan deskripsi atau spesifikasi yang tertera.
Negatif,Saya tidak akan merekomendasikan handphone ini kepada siapa pun
Negatif,Saya sangat kecewa dengan kualitas kamera pada handphone ini. Gambar-gambar yang dihasilkan sangat buram dan tidak tajam sama sekali
Negatif,"Desainnya terlalu licin dan tipis, membuatnya sulit untuk digenggam dengan nyaman tanpa case tambahan."
Negatif,"Sistem operasinya tidak pernah mendapatkan pembaruan terbaru, dan saya merasa kurang aman dari segi keamanan."
Negatif,Harga handphone ini terlalu tinggi untuk kualitas dan fitur yang ditawarkan
Negatif,"""Kualitas panggilan suaranya sangat buruk, sering terdengar suara berisik dan gangguan"
positif,"Untuk fitur tampilannya, sangat bagus. Menu aplikasinya juga menarik. Kamera berfungsi dengan baik dan speaker juga berkualitas. Harganya juga ramah di kantong. Saya sudah berbelanja di official store ini sebanyak 4 kali, dan tidak pernah merasa kecewa. Semoga nanti jika berbelanja lagi, bisa mendapatkan bonus tambahan. 😁 Sukses terus untuk toko ini!"
positif,"Layar jernih, tajam dan smooth karena sdh 120hz, speaker stereo dan balance Ngga nyesel dah belinya."
positif,Dengan fitur yg terdapat di seri ini rasanya untuk harga yg ditawarkan rasanya cukup murah karena dibandingkan dengan merk lain dengan fitur yg mendekati harganya sudah jauh diatasnya. Buat Xiaomi official store terima kasih karena sudah memberikan pelayanan yg terbaik serta untuk ekspedisi juga luar biasa. Tks🙏
positif,Hpnya bagus performa kenceng kamera belakang juga ok detailnya dapet.. Dan udah 5g cuman minusnya batere agak boros dan jangkauan wifi kurang jauh
positif,"Minusnya adalah colokan casannya tidak nyala, kabelnya, dan baterainya boros. Tapi untuk barangnya, sangat keren. Sisanya semua sesuai, tidak ada minus lagi."
positif,"pengemasan dan pengiriman gercepp bangettt, pake sameday krn sesama sby. order tgl 8 juli jam set 12 malem, jam 2 pagi uda diserahin kurir, tgl 9 jam 12an siang uda sampe rmh. cmn butuh 12 jam aja buat order sampe barangnya dateng, amajing 😍 spek hp uda ga perlu diragukan lagi, banyak review digugel dan utube. yg jelas kameranyaa top bgt krn pake sensor sony. akhirnyaa aku menemukan yg sepadan sama poco x3 nfc ku dalam segi kamera 😘"
positif,Suka sekali produk redmi. Kameranya yg ini puas banget. Baterai tahan lama. Sy punya redmi note 10 pro dan note 11 pro 5g sampe skr jg masih awet. Harga jg masih cocok dikantong. Pengiriman dan pengemasan baik.
positif,Xiaomi Performa Dan harga selalu mantap. Pas banget harga segini dapet rom 256 GB. Sukses selalu seller.
positif,HP nya original dan mulus. Ya wajar sih kan masih segel wkwk. Bagus warnanya. Semoga sepupu ku suka. Aku beliin sepupu ajasih sebenarnya. Pengiriman cepat gak delay terlalu lama.
positif,"Produknya original, layarnya nggak jelek tapi nggak terlalu bagus juga, sedang lha ya kalau dipakai hanya untuk nonton, enak-enak aja sih, (btw nggak ngedukung 4k kalau mutar video di youtube) walaupun respon penjual cukup lama tapi tetap dilayani juga. Saran kedepannya mungkin kalau packing barang dusnya dilapis bubble wrap aja, apalagi kalau ke luar pulau kayak saya gitu kan ngeri-ngeri sedap takut layarnya pecah. Dus paket saya sampingnya sampe penyek lho dibuat ekspedisi sicepat, alhasil dus tabletnya sedikit penyok bagian samping."
positif,Kualitas produk sangat baik Produk original Harga produk sangat baik Kecepatan pengiriman sangat baik Respon penjual sangat baik
positif,"Terbaik harga terjangkau dengan kualitas terbaik, produk original. Terimakasih telah menyediakan produk yg sangat rekomen untuk dinikmati dengan harga terjangkau."
positif,Sudah dpt free pad wireless charging original infinix.. Semu free nya original dan seller fast respon banget.. Pengiriman dihari yg sama padahal checkout hampir jam 5 sore.. Pengiriman dengan instant jam 6 sore barang sudah sampai.. Super gercep bgt
positif,"Sudah sampai dari kemarin, saya hanya ingin mencobanya terlebih dahulu. Alhamdulillah, IMEI-nya cocok semuanya, dan saya mendapatkan headset, meskipun mereknya adalah Realme. Fitur fast charging juga aktif. Semoga HP ini bagus."
positif,Barang ori dan ga cacat sama sekali dan harganya terjangkau pokoknya the best buat toko ini amanah bngt dan pengirimanya juga cepet
Negatif,Handphone ini memiliki masalah serius dengan daya tahan baterai; baterainya cepat habis bahkan dengan penggunaan normal sehari-hari
Negatif,"Sinyal jaringan seluler pada handphone ini sering kali lemah dan sering mengalami pemutusan panggilan, yang membuatnya sangat tidak dapat diandalkan"
Negatif," Kamera belakang pada handphone ini menghasilkan gambar yang buram dan kualitasnya jauh di bawah ekspektasi, terutama dalam kondisi cahaya rendah"
Negatif,"Prosesor handphone ini sering kali mengalami lag dan kinerja umumnya lambat, terutama saat menjalankan aplikasi berat"
Negatif,"Desain antarmuka pengguna handphone ini sangat rumit dan tidak intuitif, membuat pengaturan dan navigasi menjadi sangat merepotkan"
Negatif,"Chargernya bermasalah, pengisian baterai sangat lambat, dan kadang-kadang charger tidak bisa terhubung. Selama proses pengisian, layar sering kali bermasalah dan merespons sentuhan secara acak. Ini sungguh kacau."
Negatif,"Baru saja saya membuka kotaknya, tapi saya tidak dapat memasang kartu SIM. Tolong, bagaimana mungkin produk yang cacat seperti ini bisa lolos dari kontrol kualitas? Permintaan pengembalian barang saya ditolak dengan alasan masih tersegel. Saya merasa sangat kecewa, ini seolah-olah saya membeli HP bekas, padahal ini dari perusahaan besar. Saya sedang berpikir untuk mencari produk Xiaomi sebagai alternatifnya."
Negatif,"Saya tidak dapat menggunakan dua kartu, satu kartu tidak terdeteksi sama sekali. Saya sangat kecewa... Saya pergi ke konter, dan mereka mengatakan bahwa barang ini mungkin barang luar karena tidak memiliki IMEI. Saya mencoba menghubungi adminnya, tetapi mereka sama sekali tidak membantu. Pokoknya, saya merasa sangat kecewa. "
Negatif,"Katanya ada garansi, tetapi masalah dengan senter yang sama sekali tidak bisa menyala sama sekali tidak mendapat penjelasan yang jelas. Saya baru saja membeli HP ini, tetapi lampu senter atau flash tidak berfungsi."
Negatif,"Kualitas HP ini sangat buruk; meskipun masih baru, sudah mengalami kerusakan. Layarnya buram seperti yang tergambar, dan HP tiba-tiba mati. Ketika saya mencoba mengajukan keluhan ke toko, responsnya sangat lambat, dan mereka tidak memberikan solusi apa pun. Saya sudah cukup kecewa dan tidak ingin membeli produk dari merek ini lagi. Saya rasa sudah cukup saya menjadi korban"
